127.0.0.1 - - [07/Aug/2018:12:45:16 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:45:18 +0900] "GET /WebProject/index.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:46:29 +0900] "GET /WebProject/index.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:46:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:49:11 +0900] "GET /WebProject/index.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:49:26 +0900] "GET /WebProject/index.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:52:17 +0900] "GET /WebProject/index.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:52:17 +0900] "GET /WebProject/js/polyline.js HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:53:29 +0900] "GET /WebProject/index.html HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:54:18 +0900] "GET /WebProject/index.html HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:54:41 +0900] "GET /WebProject/index.html HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:55:13 +0900] "GET /WebProject/index.html HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:58:24 +0900] "GET /WebProject/index.html HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [07/Aug/2018:12:58:33 +0900] "GET /WebProject/index.html HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [07/Aug/2018:16:24:57 +0900] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:16:24:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
